GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,InfrastructureDeployableBase,0,25,0,0,0,7,0,5,0,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoK8SServiceDeployable,0,35,0,0,0,7,0,5,0,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoK8SServiceDeployableContainer,91,96,1,1,5,22,4,15,3,15
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoClusterInfrastructureController,9,108,1,1,4,29,3,5,2,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,ClusterInfrastructureDeploymentResult,0,6,0,0,0,2,0,1,0,1
