GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link,EntandoLinkedPluginIngressing.new IngressingPathOnPort() {...},15,17,0,0,1,3,1,3,1,3
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link,EntandoLinkedPluginIngressing,0,58,0,0,0,13,0,8,0,8
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link,EntandoAppPluginLinkController,9,106,0,0,4,21,2,4,2,4
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link,LinkAppToPluginCommand,4,202,1,1,1,36,1,8,0,8
