GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakHelper,12,31,2,4,2,8,2,3,0,2
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployable,17,99,2,2,3,20,2,12,1,11
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployableContainer,127,301,5,7,13,54,6,21,1,20
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakServerController,11,235,2,4,5,52,4,11,2,10
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakServiceDeploymentResult,0,6,0,0,0,2,0,1,0,1
