GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoOperatorMatcher,10,212,1,23,1,30,1,26,0,15
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoControllerCoordinator,17,150,2,4,2,31,2,8,0,7
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoResourceObserver,85,201,14,12,12,41,15,13,5,10
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoDeploymentPhaseWatcher,13,81,2,6,5,21,3,8,1,6
