GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployable,4,112,1,3,1,19,2,13,1,12
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployableContainer,19,285,3,7,1,46,4,21,1,19
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakServerController,11,240,2,4,5,52,4,11,2,10
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakServiceDeploymentResult,0,6,0,0,0,2,0,1,0,1
